INDEX, KEY, TSTART [UT], TPEAK [UT], TFINAL [UT], IXPEAK [W/m^2], LAT [deg], LON [deg], ARNUM,Confined/Eruptive,E_TOTAL[erg cm^-1] ,AREA_HED[CM^2],Flux_HED [Mx],SHEAR[DEG],UJ_MEAN[mA m^-2],J_TOTAL[A],UHC_MEAN[G^2 m^-1],HC_TOTAL[G^2 m^-1],GBH_MEAN[G m^-1],ALP_MEAN [Mm^-1],LPIL [Mm]
85, 20130113_0835_11652_M1.7, 2013-01-13 08:35, 2013-01-13 08:38, 2013-01-13 08:40,1.70E-05,19,14,11652,E,5.78E+22,1.28E+18,2.10E+20,65.5169,0.00987088,1.26E+12,0.0200653,19.2426,0.000130379,-0.0823371,26.4244
86, 20130118_1650_11654_C5.8, 2013-01-18 16:50, 2013-01-18 17:07, 2013-01-18 17:12,5.80E-06,12,-30,11654,E,1.13E+22,3.93E+17,5.54E+19,52.8264,0.00776677,3.36E+11,0.00773465,2.51376,8.92E-05,-0.0132539,23.368
87, 20130206_0004_11667_C8.7, 2013-02-06 00:04, 2013-02-06 00:21, 2013-02-06 00:41,8.70E-06,22,-19,11667,E,7.63E+20,4.01E+16,5.53E+18,59.8357,0.0102407,3.54E+10,0.00791211,0.205715,0.000106184,0.0686316,0
88, 20130217_1545_11675_M1.9, 2013-02-17 15:45, 2013-02-17 15:50, 2013-02-17 15:52,1.90E-05,12,-22,11675,E,6.08E+22,9.09E+17,1.32E+20,47.597,0.0106059,9.67E+11,0.025519,17.506,0.000122664,0.338897,33.8687
89, 20130220_1108_11678_C8.2, 2013-02-20 11:08, 2013-02-20 11:11, 2013-02-20 11:13,8.20E-06,10,40,11678,C,7.94E+22,1.92E+18,9.13E+20,42.5258,0.00997696,2.28E+12,0.0276101,47.5722,0.000150878,-0.0593482,45.981
90, 20130312_2242_11692_C3.6, 2013-03-12 22:42, 2013-03-12 22:46, 2013-03-12 22:49,3.60E-06,-21,41,11692,C,1.07E+22,3.26E+17,4.76E+19,52.7944,0.0107493,3.20E+11,0.0076968,1.72408,0.000110835,0.302043,10.1536
91, 20130315_1039_11696_C2.2, 2013-03-15 10:39, 2013-03-15 10:44, 2013-03-15 10:46,2.20E-06,5,9,11696,C,1.61E+21,5.08E+16,2.36E+18,31.7579,0.00734688,4.49E+10,0.00839233,0.386047,9.51E-05,0.0237694,3.89609
92, 20130319_1350_11695_C1.5, 2013-03-19 13:50, 2013-03-19 14:23, 2013-03-19 14:42,1.50E-06,10,23,11695,E,1.07E+21,1.74E+16,9.42E+17,36.9686,0.00922962,4.54E+10,0.00394939,0.146128,9.85E-05,0.0509492,0
93, 20130411_1009_11721_C4.2, 2013-04-11 10:09, 2013-04-11 10:13, 2013-04-11 10:15,4.20E-06,-16,-26,11721,E,8.06E+21,3.09E+17,1.36E+20,70.5211,0.00899143,3.05E+11,0.0319953,8.1588,0.000185118,0.0211164,6.7793
94, 20130412_1952_11718_M3.3, 2013-04-12 19:52, 2013-04-12 20:38, 2013-04-12 20:46,3.30E-05,22,42,11718,C,4.17E+22,1.24E+18,3.92E+20,48.2073,0.0100964,1.27E+12,0.0189396,17.9358,0.000136559,0.0106851,28.1267
95, 20130422_1022_11726_M1.0, 2013-04-22 10:22, 2013-04-22 10:29, 2013-04-22 10:31,1.00E-05,12,22,11726,E,1.91E+23,2.92E+18,8.55E+20,44.9729,0.00908168,2.82E+12,0.0253369,59.1361,0.000128109,0.0185572,58.4142
96, 20130428_2010_11733_C4.4, 2013-04-28 20:10, 2013-04-28 20:17, 2013-04-28 20:26,4.40E-06,-18,37,11733,E,1.08E+22,3.42E+17,2.97E+19,52.21,0.00762951,2.66E+11,0.00621605,1.62861,8.86E-05,-0.0319655,7.36628
97, 20130501_0120_11730_C9.6, 2013-05-01 01:20, 2013-05-01 01:26, 2013-05-01 01:30,9.60E-06,-18,35,11730,C,6.87E+22,1.68E+18,3.67E+20,53.381,0.00802347,1.50E+12,0.0134584,18.8686,0.000104182,0.0341954,48.1699
98, 20130501_0409_11732_C2.7, 2013-05-01 04:09, 2013-05-01 04:15, 2013-05-01 04:22,2.70E-06,-20,-26,11732,C,1.10E+20,5.35E+15,2.45E+17,41.5689,0.00301812,1.60E+09,0.00314077,0.0125631,7.76E-05,0.117598,5.23062
99, 20130502_2041_11734_C2.8, 2013-05-02 20:41, 2013-05-02 20:46, 2013-05-02 20:49,2.80E-06,-19,-27,11734,C,1.07E+21,5.35E+16,4.69E+18,55.4497,0.00750847,3.59E+10,0.0165694,0.5965,7.84E-05,-0.0340539,4.79749
100, 20130503_1639_11731_M1.3, 2013-05-03 16:39, 2013-05-03 16:55, 2013-05-03 17:22,1.30E-05,10,38,11731,C,4.47E+22,1.41E+18,4.05E+20,55.0623,0.00787433,1.14E+12,0.00991604,10.8283,9.41E-05,0.00840505,29.2617
101, 20130513_2158_11745_C8.3, 2013-05-13 21:58, 2013-05-13 22:05, 2013-05-13 22:11,8.30E-06,12,-37,11745,C,1.07E+23,2.65E+18,5.02E+20,63.2722,0.00834196,2.30E+12,0.00935052,19.3743,0.000102464,-0.0187021,51.6891
102, 20130517_0843_11748_M3.2, 2013-05-17 08:43, 2013-05-17 08:57, 2013-05-17 09:19,3.20E-05,10,-35,11748,E,7.10E+22,1.82E+18,3.18E+20,52.0176,0.00835723,1.44E+12,0.0104725,13.6038,9.00E-05,-0.0929958,37.8763
103, 20130523_1443_11756_C3.9, 2013-05-23 14:43, 2013-05-23 14:50, 2013-05-23 15:00,3.90E-06,-20,-37,11756,C,1.01E+23,2.34E+18,3.40E+20,61.3288,0.00938877,2.24E+12,0.0136652,24.4881,0.000111417,-0.123916,35.4754
104, 20130525_1039_11755_C2.1, 2013-05-25 10:39, 2013-05-25 10:49, 2013-05-25 10:59,2.10E-06,11,-26,11755,C,1.48E+21,4.81E+16,1.01E+19,37.0585,0.00954344,6.34E+10,0.0330185,1.65093,0.000144504,0.0142804,1.09679
105, 20130603_0703_11762_C9.5, 2013-06-03 07:03, 2013-06-03 07:25, 2013-06-03 07:42,9.50E-06,-27,21,11762,E,5.35E+22,1.89E+18,3.65E+20,46.2932,0.00818754,1.46E+12,0.00731433,9.83778,8.81E-05,0.0509078,19.7549
106, 20130624_1636_11775_C2.0, 2013-06-24 16:36, 2013-06-24 16:41, 2013-06-24 16:44,2.00E-06,-26,32,11775,C,1.25E+22,4.38E+17,7.11E+19,50.5762,0.00951378,4.34E+11,0.0117926,4.04487,9.77E-05,-0.0021947,8.5803
107, 20130708_0113_11785_C9.7, 2013-07-08 01:13, 2013-07-08 01:22, 2013-07-08 01:23,9.70E-06,-7,3,11785,C,1.00E+23,2.66E+18,8.90E+20,68.9831,0.0084498,2.18E+12,0.0221958,43.0598,0.000145817,0.020763,57.5538
108, 20130710_0624_11787_C4.9, 2013-07-10 06:24, 2013-07-10 06:40, 2013-07-10 06:53,4.90E-06,-15,13,11787,C,4.72E+20,9.22E+16,2.58E+19,62.1611,0.00739215,1.67E+10,0.00790961,0.134463,0.000103846,0.0719324,21.4087
109, 20130715_1028_11791_C3.6, 2013-07-15 10:28, 2013-07-15 10:55, 2013-07-15 11:15,3.60E-06,-12,-16,11791,C,5.35E+22,1.31E+18,2.67E+20,73.201,0.00792605,9.83E+11,0.00266604,2.48742,7.44E-05,-0.234279,9.68289
110, 20130721_0824_11800_C3.1, 2013-07-21 08:24, 2013-07-21 08:44, 2013-07-21 09:39,3.10E-06,-6,-31,11800,C,6.65E+21,2.09E+17,1.19E+20,48.1795,0.00867701,2.17E+11,0.00605098,1.13758,9.25E-05,0.0716232,3.33511
111, 20130812_1021_11817_M1.5, 2013-08-12 10:21, 2013-08-12 10:41, 2013-08-12 10:47,1.50E-05,-17,-19,11817,E,9.67E+22,1.81E+18,5.60E+20,51.504,0.0109549,1.96E+12,0.0448831,60.278,0.000196516,-0.113502,28.5292
112, 20130817_1816_11818_M3.3, 2013-08-17 18:16, 2013-08-17 18:24, 2013-08-17 18:35,3.30E-05,-7,30,11818,E,1.87E+23,2.53E+18,6.33E+20,63.4191,0.00965557,2.58E+12,0.0332185,66.8024,0.000107544,0.135226,25.7543
113, 20130929_0511_11850_C1.6, 2013-09-29 05:11, 2013-09-29 05:25, 2013-09-29 05:42,1.60E-06,9,44,11850,C,3.24E+21,8.02E+16,8.33E+18,41.2891,0.00900142,1.22E+11,0.00585036,0.596736,9.73E-05,-0.0205541,4.83564
114, 20131022_2115_11875_M4.2, 2013-10-22 21:15, 2013-10-22 21:20, 2013-10-22 21:44,4.20E-05,4,1,11875,E,1.17E+23,3.69E+18,8.98E+20,47.0682,0.0095297,3.36E+12,0.0268333,71.2693,0.000151697,-0.0210691,60.7333
115, 20131024_0021_11877_M9.3, 2013-10-24 00:21, 2013-10-24 00:30, 2013-10-24 00:50,9.30E-05,-10,-8,11877,E,6.24E+22,1.75E+18,2.92E+20,69.1647,0.00863489,1.48E+12,0.0169484,21.9143,0.000107912,0.0303095,36.4134
116, 20131028_1507_11882_M4.4, 2013-10-28 15:07, 2013-10-28 15:15, 2013-10-28 15:21,4.40E-05,-8,-26,11882,E,9.23E+22,1.62E+18,3.64E+20,56.2984,0.0105413,1.94E+12,0.0241504,33.3518,0.000134831,0.0504814,28.6805
117, 20131108_0420_11890_X1.1, 2013-11-08 04:20, 2013-11-08 04:26, 2013-11-08 04:49,1.10E-04,-14,-15,11890,E,1.80E+23,3.21E+18,6.66E+20,62.2137,0.00957953,3.19E+12,0.0165718,41.4793,0.00011899,0.0643005,39.025
118, 20131108_0922_11891_M2.3, 2013-11-08 09:22, 2013-11-08 09:28, 2013-11-08 09:31,2.30E-05,-18,28,11891,E,3.97E+22,9.38E+17,3.91E+20,57.4437,0.010302,9.23E+11,0.0373982,25.2064,0.000166961,0.0584995,27.3605
119, 20131116_0615_11897_C8.6, 2013-11-16 06:15, 2013-11-16 06:21, 2013-11-16 06:28,8.60E-06,-21,-9,11897,C,3.25E+22,8.67E+17,7.44E+19,68.9382,0.00956236,8.31E+11,0.00612961,4.00877,9.61E-05,0.0356265,33.2959
120, 20131116_0745_11900_M1.6, 2013-11-16 07:45, 2013-11-16 07:49, 2013-11-16 07:53,1.60E-05,-19,29,11900,C,4.75E+22,9.68E+17,1.45E+20,53.7947,0.00996971,9.45E+11,0.00274001,1.95363,8.99E-05,-9.89E-06,15.9476
121, 20131117_1410_11899_C1.7, 2013-11-17 14:10, 2013-11-17 14:14, 2013-11-17 14:18,1.70E-06,6,-23,11899,C,7.81E+22,1.77E+18,1.89E+20,45.3487,0.00845234,1.58E+12,0.0045214,6.35709,8.84E-05,-0.0131123,3.1625
122, 20131205_1735_11909_C6.7, 2013-12-05 17:35, 2013-12-05 17:43, 2013-12-05 17:50,6.70E-06,-17,20,11909,C,1.60E+21,5.75E+16,5.62E+18,54.0701,0.00975097,6.87E+10,0.00437505,0.231878,8.51E-05,-0.301219,4.19896
123, 20131207_0430_11916_C3.3, 2013-12-07 04:30, 2013-12-07 04:36, 2013-12-07 04:42,3.30E-06,-15,12,11916,C,4.83E+21,2.10E+17,1.27E+19,47.2166,0.00883354,1.78E+11,0.041405,6.29356,0.000136618,0.0323566,8.79446
124, 20131212_2205_11921_C5.9, 2013-12-12 22:05, 2013-12-12 22:14, 2013-12-12 22:19,5.90E-06,10,-38,11921,C,3.93E+20,3.21E+16,2.30E+18,51.9435,0.0132074,2.46E+10,0.0171319,0.239847,0.000100909,0.36013,0.817495
125, 20131228_1306_11934_C2.6, 2013-12-28 13:06, 2013-12-28 13:15, 2013-12-28 13:31,2.60E-06,-20,34,11934,C,7.82E+21,3.18E+17,4.08E+19,57.6625,0.0092011,2.92E+11,0.0156833,3.7483,0.000117567,-0.0681031,8.84502
126, 20131231_2145_11936_M6.4, 2013-12-31 21:45, 2013-12-31 21:58, 2013-12-31 22:20,6.40E-05,-16,35,11936,E,1.11E+23,2.68E+18,6.09E+20,62.988,0.00855991,2.52E+12,0.0111654,24.7202,0.000106319,-0.0459308,34.7538
127, 20140107_1804_11944_X1.2, 2014-01-07 18:04, 2014-01-07 18:32, 2014-01-07 18:58,1.20E-04,-14,7,11944,E,3.25E+23,7.34E+18,1.73E+21,5.25E+01,0.0085396,7.19E+12,0.0213552,135.328,0.000133552,0.0348027,58.3063
128, 20140202_0624_11968_M2.6, 2014-02-02 06:24, 2014-02-02 06:34, 2014-02-02 06:53,2.60E-05,12,-18,11968,E,1.67E+23,3.65E+18,5.78E+20,58.7386,0.00870225,3.08E+12,0.0077392,20.6327,9.52E-05,0.00719415,51.1343
129, 20140204_0357_11967_M5.2, 2014-02-04 03:57, 2014-02-04 04:00, 2014-02-04 04:06,5.20E-05,-14,6,11967,C,1.47E+24,1.97E+19,6.89E+21,53.373,0.0100462,2.02E+13,0.0471195,713.201,0.000128782,-0.0434046,183.108
130, 20140212_0352_11974_M3.7, 2014-02-12 03:52, 2014-02-12 04:25, 2014-02-12 04:38,3.70E-05,-12,2,11974,E,1.74E+23,4.09E+18,3.44E+20,59.1754,0.00945186,4.01E+12,0.0101123,32.248,0.000113574,0.0820022,96.5369
131, 20140218_0127_11976_C4.7, 2014-02-18 01:27, 2014-02-18 01:33, 2014-02-18 01:40,4.70E-06,-16,42,11976,C,7.01E+21,2.30E+17,5.02E+19,24.0906,0.00733293,2.22E+11,0.0101476,2.31365,9.39E-05,-0.0805418,0
132, 20140225_1504_11986_C5.7, 2014-02-25 15:04, 2014-02-25 15:10, 2014-02-25 15:18,5.70E-06,13,-3,11986,C,6.00E+20,2.54E+16,5.61E+17,30.3541,0.00921458,2.45E+10,0.0106001,0.212002,0.000153777,0.0076262,0
133, 20140226_1452_11982_M1.1, 2014-02-26 14:52, 2014-02-26 15:01, 2014-02-26 15:10,1.10E-05,-10,41,11982,E,4.29E+22,2.70E+18,6.91E+20,49.3358,0.0080143,8.72E+11,0.0131659,10.7829,0.000117259,-0.0376463,62.0772
134, 20140301_0055_11993_C4.3, 2014-03-01 00:55, 2014-03-01 00:59, 2014-03-01 01:02,4.30E-06,16,-34,11993,C,2.04E+22,6.70E+17,6.51E+19,48.1511,0.0111541,7.50E+11,0.00308082,1.55889,8.65E-05,0.0766715,23.353
135, 20140303_1554_11989_M1.2, 2014-03-03 15:54, 2014-03-03 15:58, 2014-03-03 16:01,1.20E-05,5,36,11989,E,3.94E+22,1.12E+18,2.19E+20,55.1483,0.00943803,1.03E+12,0.0185868,15.297,0.000120275,0.0548922,17.585
136, 20140310_1129_11996_C6.0, 2014-03-10 11:29, 2014-03-10 11:42, 2014-03-10 11:49,6.00E-06,14,37,11996,C,5.67E+22,1.39E+18,6.58E+20,45.9137,0.00926805,1.46E+12,0.0179919,21.3024,0.000114687,-0.0548135,46.1721
137, 20140316_0806_12005_C2.2, 2014-03-16 08:06, 2014-03-16 08:13, 2014-03-16 08:31,2.20E-06,14,-42,12005,C,8.75E+21,1.90E+17,3.14E+19,28.8605,0.0087903,3.53E+11,0.00659873,1.99282,8.42E-05,0.00702371,0
138, 20140323_0305_12014_C5.0, 2014-03-23 03:05, 2014-03-23 03:48, 2014-03-23 04:30,5.00E-06,-12,-40,12014,E,1.51E+21,6.01E+16,4.02E+18,75.7468,0.00995421,6.22E+10,0.00280736,0.131946,7.03E-05,-0.443924,12.8102
139, 20140329_1735_12017_X1.0, 2014-03-29 17:35, 2014-03-29 17:48, 2014-03-29 18:04,1.00E-04,11,32,12017,E,6.75E+22,1.47E+18,5.01E+20,60.1929,0.008647,1.53E+12,0.0212794,28.3229,0.000134528,-0.0251084,17.4822
140, 20140404_1334_12027_C8.3, 2014-04-04 13:34, 2014-04-04 13:48, 2014-04-04 13:56,8.30E-06,13,-26,12027,E,2.23E+21,9.22E+16,5.56E+18,53.8375,0.00865661,7.02E+10,0.00266865,0.162788,8.03E-05,-0.112671,0
141, 20140404_1447_12021_C6.2, 2014-04-04 14:47, 2014-04-04 14:54, 2014-04-04 15:00,6.20E-06,-13,30,12021,C,4.75E+22,1.77E+18,2.44E+20,48.5431,0.00952192,1.62E+12,0.018242,23.3498,0.000114777,-0.0162386,23.1304
142, 20140416_0812_12034_C4.5, 2014-04-16 08:12, 2014-04-16 08:16, 2014-04-16 08:20,4.50E-06,3,1,12034,C,1.21E+21,3.34E+16,9.60E+18,32.6368,0.00882213,4.69E+10,0.00182704,0.0730816,0.00011302,-0.000144701,0.817495
143, 20140416_1954_12035_M1.0, 2014-04-16 19:54, 2014-04-16 19:59, 2014-04-16 20:04,1.00E-05,-14,-9,12035,E,1.04E+22,3.30E+17,8.15E+19,70.2206,0.00741121,2.96E+11,0.0211702,6.35106,0.000123344,0.00190445,0
144, 20140418_1231_12036_M7.3, 2014-04-18 12:31, 2014-04-18 13:03, 2014-04-18 13:20,7.30E-05,-19,28,12036,E,7.09E+22,1.79E+18,3.38E+20,57.127,0.00843286,1.54E+12,0.0111265,15.3212,0.0001038,0.00633468,29.6934
145, 20140421_1930_12038_C5.1, 2014-04-21 19:30, 2014-04-21 20:02, 2014-04-21 20:26,5.10E-06,-11,14,12038,E,2.84E+20,2.14E+16,1.03E+18,54.9508,0.00717878,9.54E+09,0.00856615,0.0856615,0.000109897,-0.242369,0
146, 20140423_2322_12044_C3.3, 2014-04-23 23:22, 2014-04-23 23:53, 2014-04-24 00:05,3.30E-06,-19,-10,12044,E,1.11E+20,1.20E+16,3.58E+17,57.7792,0.0158491,8.43E+09,0.0211874,0.0847495,0.000148076,-0.4356,0
147, 20140502_0917_12047_C4.4, 2014-05-02 09:17, 2014-05-02 09:40, 2014-05-02 10:01,4.40E-06,-18,13,12047,C,6.64E+22,1.47E+18,2.04E+20,66.8945,0.00883752,1.35E+12,0.0132374,15.17,0.000106942,-0.0661593,12.8298
148, 20140504_1716_12053_C1.4, 2014-05-04 17:16, 2014-05-04 17:38, 2014-05-04 17:50,1.40E-06,10,-44,12053,C,9.49E+21,2.38E+17,3.55E+19,49.1608,0.00959362,2.36E+11,0.0120815,2.23507,0.000106553,0.306673,8.74236
149, 20140510_0651_12056_C8.7, 2014-05-10 06:51, 2014-05-10 07:02, 2014-05-10 07:30,8.70E-06,3,-31,12056,C,9.43E+22,2.25E+18,3.07E+20,71.7503,0.00881231,1.97E+12,0.0173658,29.2788,0.000112523,0.00602877,10.866
150, 20140510_2347_12055_C4.2, 2014-05-10 23:47, 2014-05-10 23:54, 2014-05-11 00:01,4.20E-06,12,-18,12055,C,1.13E+22,3.94E+17,1.03E+20,49.0557,0.00926261,3.71E+11,0.0102078,3.07255,0.00010321,-0.0204072,7.99814
151, 20140515_0336_12060_C3.2, 2014-05-15 03:36, 2014-05-15 03:40, 2014-05-15 03:44,3.20E-06,-14,5,12060,C,2.73E+19,1.34E+15,1.57E+16,40.6315,0.00783697,1.04E+09,0.00116706,0.00116706,0.000105833,4.0511,3.1625
152, 20140517_0234_12066_C3.3, 2014-05-17 02:34, 2014-05-17 02:39, 2014-05-17 02:48,3.30E-06,-15,-1,12066,C,1.12E+22,2.83E+17,8.44E+18,52.5593,0.00899453,2.55E+11,0.0206894,4.40684,0.000140091,0.161058,11.4717
153, 20140603_0358_12077_M1.3, 2014-06-03 03:58, 2014-06-03 04:09, 2014-06-03 04:17,1.30E-05,-5,-30,12077,E,1.87E+21,4.41E+16,8.16E+18,41.1771,0.0085041,6.56E+10,0.00654403,0.379554,0.000114545,0.109242,1.33452
154, 20140611_0256_12082_C2.3, 2014-06-11 02:56, 2014-06-11 03:02, 2014-06-11 03:10,2.30E-06,13,28,12082,C,2.22E+21,6.55E+16,5.42E+18,24.0278,0.0086694,7.95E+10,0.00267226,0.184386,7.71E-05,0.284577,0
155, 20140611_0530_12080_M1.8, 2014-06-11 05:30, 2014-06-11 05:34, 2014-06-11 05:36,1.80E-05,-12,35,12080,E,5.83E+22,1.33E+18,5.05E+20,67.2584,0.00764929,1.01E+12,0.0167735,16.656,0.000105813,0.0249569,21.1734
156, 20140612_1956_12089_M1.1, 2014-06-12 19:56, 2014-06-12 20:03, 2014-06-12 20:05,1.10E-05,17,-5,12089,E,3.25E+22,6.43E+17,9.09E+19,54.546,0.00902827,5.69E+11,0.00580417,2.75117,9.91E-05,-0.00390801,19.7134
157, 20140613_0749_12087_M2.6, 2014-06-13 07:49, 2014-06-13 07:56, 2014-06-13 07:59,2.60E-05,-18,-40,12087,E,1.42E+23,3.06E+18,8.97E+20,63.3859,0.00859875,2.65E+12,0.0226879,52.5451,0.000106607,0.0736319,38.1952
158, 20140620_1049_12093_C5.0, 2014-06-20 10:49, 2014-06-20 11:20, 2014-06-20 11:42,5.00E-06,-9,-15,12093,E,9.45E+21,3.44E+17,2.07E+19,68.0618,0.00768747,2.34E+11,0.00900956,2.06319,9.95E-05,-0.052108,5.22821
159, 20140630_0652_12100_C2.2, 2014-06-30 06:52, 2014-06-30 07:02, 2014-06-30 07:10,2.20E-06,9,-20,12100,C,7.89E+21,2.22E+17,2.77E+19,46.5619,0.0105889,2.39E+11,0.00345604,0.587526,9.66E-05,-0.0580034,5.80697
160, 20140704_1430_12108_C4.2, 2014-07-04 14:30, 2014-07-04 14:39, 2014-07-04 14:48,4.20E-06,-6,-34,12108,C,3.20E+22,1.04E+18,2.34E+20,53.801,0.00840682,8.58E+11,0.0168941,12.9747,0.000116232,-0.0247771,18.4864
161, 20140707_0713_12102_C2.6, 2014-07-07 07:13, 2014-07-07 07:34, 2014-07-07 07:47,2.60E-06,16,38,12102,C,1.10E+21,3.61E+16,3.55E+18,51.1143,0.00655696,3.31E+10,0.0169041,0.642356,0.000109399,0.0778457,0
162, 20140708_2132_12107_C2.3, 2014-07-08 21:32, 2014-07-08 21:36, 2014-07-08 21:39,2.30E-06,-20,30,12107,C,1.28E+21,5.35E+16,5.31E+18,45.1288,0.00896737,4.89E+10,0.00365795,0.149976,8.15E-05,0.204673,8.83947
163, 20140710_2100_12113_C7.4, 2014-07-10 21:00, 2014-07-10 21:13, 2014-07-10 21:37,7.40E-06,9,-35,12113,E,1.28E+21,5.35E+16,4.87E+18,30.8311,0.00565135,3.08E+10,0.00515556,0.211378,9.01E-05,-0.00484704,0
164, 20140711_0039_12109_C4.6, 2014-07-11 00:39, 2014-07-11 00:44, 2014-07-11 00:48,4.60E-06,-6,32,12109,C,2.90E+22,9.56E+17,1.90E+20,52.1209,0.00830485,8.48E+11,0.0177242,13.6122,0.000119529,7.25E-06,35.6933
165, 20140725_0657_12121_C2.2, 2014-07-25 06:57, 2014-07-25 07:02, 2014-07-25 07:07,2.20E-06,9,-35,12121,C,3.53E+21,1.32E+17,3.82E+19,50.4201,0.00742135,1.07E+11,0.00867531,0.936934,9.18E-05,-0.0157651,5.10036
166, 20140801_1443_12130_M2.0, 2014-08-01 14:43, 2014-08-01 14:48, 2014-08-01 14:57,2.00E-05,-12,-42,12130,C,1.07E+22,3.44E+17,4.97E+19,60.0496,0.00820252,2.81E+11,0.0208407,5.3769,0.000122358,-0.0173816,23.16
167, 20140802_1312_12132_C2.7, 2014-08-02 13:12, 2014-08-02 13:28, 2014-08-02 13:38,2.70E-06,-18,-40,12132,C,1.07E+22,3.88E+17,6.06E+19,50.0208,0.00927762,4.08E+11,0.00936063,3.09837,0.000103195,-0.00925145,51.4929
168, 20140808_1657_12135_C4.5, 2014-08-08 16:57, 2014-08-08 17:01, 2014-08-08 17:03,4.50E-06,13,-44,12135,C,9.49E+20,3.34E+16,3.22E+18,42.6599,0.0111091,4.43E+10,0.0134452,0.403357,9.09E-05,0.281706,0.365595
169, 20140821_2354_12148_C6.6, 2014-08-21 23:54, 2014-08-22 00:06, 2014-08-22 00:10,6.60E-06,5,-27,12148,C,1.83E+22,6.32E+17,9.88E+19,92.3858,0.00925948,5.65E+11,0.0205264,9.42159,0.000113321,-0.111676,13.3127
170, 20140825_2006_12146_M3.9, 2014-08-25 20:06, 2014-08-25 20:21, 2014-08-25 20:29,3.90E-05,9,38,12146,E,2.26E+23,4.66E+18,1.10E+21,66.8316,0.00884431,4.15E+12,0.0285348,100.699,0.000118852,-0.0815694,50.4954
171, 20140827_0230_12151_C1.4, 2014-08-27 02:30, 2014-08-27 02:35, 2014-08-27 02:39,1.40E-06,-11,-40,12151,C,3.96E+21,1.50E+17,2.12E+19,64.8853,0.0063678,1.03E+11,0.00620563,0.757087,8.91E-05,0.0453804,0
172, 20140904_1310_12152_C6.3, 2014-09-04 13:10, 2014-09-04 13:30, 2014-09-04 13:45,6.30E-06,-15,26,12152,C,2.02E+21,8.55E+16,2.88E+18,46.1421,0.00914946,7.66E+10,0.0148174,0.933499,0.000126372,-0.036963,12.8216
173, 20140910_1721_12158_X1.6, 2014-09-10 17:21, 2014-09-10 17:45, 2014-09-10 18:20,1.60E-04,14,-2,12158,E,9.04E+22,2.70E+18,4.28E+20,62.2113,0.00780969,2.11E+12,0.0131968,26.8687,9.94E-05,-0.112487,10.2804
174, 20140923_2303_12172_M2.3, 2014-09-23 23:03, 2014-09-23 23:16, 2014-09-23 23:28,2.30E-05,-13,-33,12172,E,6.01E+22,1.92E+18,3.40E+20,59.8363,0.0075714,1.57E+12,0.0169036,26.3357,0.000108895,0.0118737,34.2224
175, 20140928_0239_12173_M5.1, 2014-09-28 02:39, 2014-09-28 02:58, 2014-09-28 03:19,5.10E-05,-13,23,12173,E,1.87E+22,1.12E+18,2.51E+20,47.2379,0.00804927,5.36E+11,0.0212373,10.6399,0.000135638,-0.0866677,12.4494
176, 20140929_0534_12177_C5.4, 2014-09-29 05:34, 2014-09-29 05:54, 2014-09-29 06:05,5.40E-06,13,-42,12177,C,4.05E+22,1.30E+18,4.00E+20,56.0307,0.00854397,1.11E+12,0.0258323,25.2382,0.00012982,-0.00954748,33.9169
177, 20141003_1041_12181_C2.2, 2014-10-03 10:41, 2014-10-03 10:46, 2014-10-03 10:53,2.20E-06,-11,5,12181,C,3.10E+21,1.36E+17,7.94E+18,51.6968,0.00683818,8.82E+10,0.0050166,0.48661,8.15E-05,0.0889278,3.9824
178, 20141009_0154_12182_M1.4, 2014-10-09 01:54, 2014-10-09 01:58, 2014-10-09 02:02,1.40E-05,-16,42,12182,E,1.20E+23,2.61E+18,6.32E+20,48.2134,0.00914256,2.61E+12,0.00993636,21.3036,9.34E-05,-0.00267567,55.2577
179, 20141024_2107_12192_X3.1, 2014-10-24 21:07, 2014-10-24 21:41, 2014-10-24 22:13,3.10E-04,-16,21,12192,C,4.78E+23,1.42E+19,5.48E+21,45.1661,0.00817437,1.05E+13,0.0193959,187.034,0.000111555,-0.0270916,91.628
180, 20141107_1653_12205_X1.6, 2014-11-07 16:53, 2014-11-07 17:26, 2014-11-07 17:34,1.60E-04,15,-33,12205,E,4.03E+23,5.86E+18,1.88E+21,58.547,0.00840167,4.82E+12,0.0180213,77.7619,0.00012179,0.0330455,113.332
181, 20141114_0558_12208_C4.2, 2014-11-14 05:58, 2014-11-14 06:02, 2014-11-14 06:07,4.20E-06,-12,-15,12208,C,4.23E+22,1.03E+18,1.28E+20,93.9086,0.00923486,9.81E+11,0.0155406,12.417,0.000123828,-0.108306,15.8531
182, 20141127_0547_12216_C2.8, 2014-11-27 05:47, 2014-11-27 05:53, 2014-11-27 06:02,2.80E-06,-10,15,12216,C,5.08E+21,1.34E+17,1.65E+19,60.4996,0.0078601,1.21E+11,0.00646433,0.749862,0.000110332,-0.0482467,10.2862
183, 20141129_1321_12219_C6.5, 2014-11-29 13:21, 2014-11-29 13:49, 2014-11-29 14:18,6.50E-06,4,34,12219,C,3.76E+22,1.07E+18,3.69E+20,47.5502,0.0087245,9.40E+11,0.0252324,20.4635,0.000134782,0.00737434,32.3233
