INDEX, KEY, TSTART [UT], TPEAK [UT], TFINAL [UT], IXPEAK [W/m^2], LAT [deg], LON [deg], ARNUM,Confined/Eruptive,E_TOTAL[erg cm^-1] ,AREA_HED[CM^2],Flux_HED [Mx],SHEAR[DEG],UJ_MEAN[mA m^-2],J_TOTAL[A],UHC_MEAN[G^2 m^-1],HC_TOTAL[G^2 m^-1],GBH_MEAN[G m^-1],ALP_MEAN [Mm^-1],LPIL [Mm]
21, 20110803_0429_11263_M1.7, 2011-08-03 04:29, 2011-08-03 04:32, 2011-08-03 04:35,1.70E-05,17,-8,11263,C,2.51E+23,5.27E+18,1.53E+21,60.958,0.00751541,4.22E+12,0.019833,83.7151,0.000114809,0.0424643,44.8
22, 20110806_0837_11267_C4.1, 2011-08-06 08:37, 2011-08-06 08:47, 2011-08-06 08:51,4.10E-06,-16,-22,11267,C,2.97E+22,5.55E+17,1.42E+20,68.7026,0.00874363,4.81E+11,0.0184373,7.63304,0.000109028,-0.0974784,15.4
23, 20110821_1815_11272_C1.5, 2011-08-21 18:15, 2011-08-21 18:40, 2011-08-21 18:46,1.50E-06,-19,-8,11272,C,6.53E+21,2.50E+17,2.62E+19,56.3142,0.0120769,2.78E+11,0.0339097,5.86638,0.000207863,-0.119887,10.3
24, 20110903_0747_11281_C2.4, 2011-09-03 07:47, 2011-09-03 07:56, 2011-09-03 08:04,2.40E-06,-21,1,11281,C,2.45E+21,1.06E+17,4.16E+18,41.6426,0.010773,1.05E+11,0.0445032,3.24874,0.000174891,0.0426388,4.71
25, 20110906_2212_11283_X2.1, 2011-09-06 22:12, 2011-09-06 22:20, 2011-09-06 22:40,2.10E-04,14,18,11283,E,1.43E+23,2.47E+18,2.87E+20,66.0841,0.00806597,2.00E+12,0.0153,28.5804,0.000119584,0.0589728,21.4
26, 20110926_0506_11302_M4.0, 2011-09-26 05:06, 2011-09-26 05:08, 2011-09-26 05:30,4.00E-05,13,-34,11302,E,5.88E+23,9.12E+18,3.63E+21,57.0823,0.0103463,1.01E+13,0.0328807,240.95,0.000132616,-0.0142452,114
27, 20111002_0037_11305_M3.9, 2011-10-02 00:37, 2011-10-02 00:50, 2011-10-02 00:59,3.90E-05,9,12,11305,E,5.98E+22,1.16E+18,1.44E+20,64.2065,0.0088823,9.98E+11,0.00766252,6.47483,8.37E-05,-0.087922,11.0198
28, 20111010_1430_11313_C4.5, 2011-10-10 14:30, 2011-10-10 14:35, 2011-10-10 14:37,4.50E-06,-13,-3,11313,C,3.23E+21,1.66E+17,1.51E+19,43.6468,0.00877862,1.03E+11,0.0243259,2.14068,0.000161267,1.50E-03,1.85
29, 20111016_1504_11319_C6.3, 2011-10-16 15:04, 2011-10-16 15:14, 2011-10-16 15:22,6.30E-06,13,8,11319,C,7.33E+22,1.64E+18,5.71E+20,59.0426,0.00685887,6.31E+11,0.00234646,1.62375,7.91E-05,5.69E-02,23.4
30, 20111022_1514_11324_C4.1, 2011-10-22 15:14, 2011-10-22 15:20, 2011-10-22 15:29,4.10E-06,12,-24,11324,C,7.98E+21,1.95E+17,4.41E+19,52.4579,0.00958321,2.70E+11,0.0216377,4.58719,0.000145385,-0.0148196,7.6
31, 20111031_0514_11334_C2.7, 2011-10-31 05:14, 2011-10-31 05:21, 2011-10-31 05:25,2.70E-06,13,-25,11334,C,2.37E+21,1.96E+17,8.86E+19,38.0904,0.0101756,9.74E+10,0.042884,3.08765,0.000176549,-0.0384338,1.46
32, 20111105_2031_11339_M1.8, 2011-11-05 20:31, 2011-11-05 20:38, 2011-11-05 20:54,1.80E-05,21,-34,11339,C,3.40E+23,8.97E+18,3.08E+21,53.7327,0.0100798,8.87E+12,0.0345955,229.057,0.000127526,-0.0682075,124
33, 20111111_1640_11344_C5.4, 2011-11-11 16:40, 2011-11-11 17:09, 2011-11-11 17:33,5.40E-06,-19,31,11344,C,4.63E+21,1.04E+18,3.25E+20,49.0484,0.00802723,1.39E+11,0.0488318,6.34813,0.000112456,0.0414408,19
34, 20111115_1230_11346_M1.9, 2011-11-15 12:30, 2011-11-15 12:43, 2011-11-15 12:50,1.90E-05,-18,-40,11346,C,3.10E+22,1.07E+18,2.08E+20,58.1033,0.0113087,1.20E+12,0.0171675,13.7168,0.000105823,-0.21368,23.5
35, 20111120_1635_11354_C6.1, 2011-11-20 16:35, 2011-11-20 16:47, 2011-11-20 17:07,6.10E-06,-15,-38,11354,C,3.30E+22,8.23E+17,2.04E+20,58.4133,0.00855938,7.75E+11,0.0198036,13.4862,0.000115682,0.0244223,22.8
36, 20111122_0949_11356_C3.2, 2011-11-22 09:49, 2011-11-22 09:54, 2011-11-22 09:56,3.20E-06,12,-44,11356,C,5.59E+22,1.37E+18,3.46E+20,50.5112,0.00943889,1.43E+12,0.0182903,20.8875,0.000118078,-0.000269667,49.5
37, 20111128_1822_11361_C3.2, 2011-11-28 18:22, 2011-11-28 18:30, 2011-11-28 18:39,3.20E-06,19,-26,11361,C,2.32E+21,4.81E+16,3.04E+19,42.607,0.0076067,4.35E+10,0.00299862,0.128941,7.60E-05,0.0357418,8.03
38, 20111205_2320_11363_C6.9, 2011-12-05 23:20, 2011-12-05 23:25, 2011-12-05 23:34,6.90E-06,-20,9,11363,C,2.11E+22,6.52E+17,7.60E+19,68.642,0.00696521,4.79E+11,0.00725603,3.75137,0.000103121,0.0334361,4.32
39, 20111210_2357_11374_C1.6, 2011-12-10 23:57, 2011-12-11 00:02, 2011-12-11 00:07,1.60E-06,-17,-41,11374,C,1.24E+22,4.37E+17,4.52E+19,51.721,0.0101034,5.75E+11,0.00860688,3.68375,9.67E-05,-1.45E-06,5.2
40, 20111220_2238_11376_C6.2, 2011-12-20 22:38, 2011-12-20 22:50, 2011-12-20 23:04,6.20E-06,18,44,11376,C,1.34E+23,3.32E+18,7.65E+20,54.1278,0.010012,3.41E+12,0.0414663,106.154,0.000144977,0.0702956,67.7
41, 20111221_0448_11382_C4.3, 2011-12-21 04:48, 2011-12-21 04:55, 2011-12-21 04:59,4.30E-06,-19,-6,11382,C,4.70E+22,1.45E+18,3.76E+20,57.2183,0.00828906,1.08E+12,0.0110227,10.8353,0.000120284,0.00033359,35.5
42, 20111222_0156_11381_C5.4, 2011-12-22 01:56, 2011-12-22 02:08, 2011-12-22 02:20,5.40E-06,-19,18,11381,E,4.25E+21,3.29E+17,8.60E+19,46.4663,0.00845461,2.93E+11,0.0152971,3.99255,0.000119185,-0.0556017,5.26
43, 20111225_1811_11387_M4.0, 2011-12-25 18:11, 2011-12-25 18:16, 2011-12-25 18:40,4.00E-05,-22,26,11387,E,8.36E+22,2.22E+18,3.82E+20,54.1748,0.00963112,1.99E+12,0.0142696,22.1893,0.000107253,0.01554,37.5
44, 20111226_1123_11384_C5.7, 2011-12-26 11:23, 2011-12-26 11:50, 2011-12-26 12:18,5.70E-06,17,2,11384,E,1.45E+21,1.60E+16,3.53E+18,38.3029,0.00759888,3.74E+10,0.0152329,0.563618,0.000115888,-0.111017,2.4
