,AR,KEY,time,energy,shear_mean,uj_mean,uhc_mean,GBH_MEAN,ALP_MEAN
0,11087,0,201007121036,-0.20760013837068014,1.344930638235987,-0.4993068497984266,-0.40726857903646435,-0.31478736366897453,0.06831093677788555
1,11087,0,201007121112,-0.20376667162274156,0.7842880279662671,-0.30397317797766565,-0.47720564370809887,-0.35289769460058623,0.05865418191062893
2,11087,0,201007121148,-0.24465698360075294,0.8803373108452466,-0.37341260466539256,-0.4145547225564716,-0.23856670180575115,0.1540065037315169
3,11087,0,201007121224,-0.2631854062157893,0.5814230902167159,-0.37228350829648627,-0.3820892531305887,-0.4291183564638102,0.21243033539232073
4,11087,0,201007121300,-0.25168500597197363,0.6208422689120424,-0.13178598171948097,-0.4288296159834247,-0.5815596801902575,0.05619352180369322
5,11087,0,201007121336,-0.24337916135144005,0.7651913359059853,-0.5343088372345164,-0.6435478046138434,-0.7340010039167043,0.018119511877113022
6,11087,0,201007121412,-0.2491293614733479,0.8139696871801217,-0.07871845238089269,-0.5914047911237232,-0.5815596801902575,0.04145512042664583
7,11087,0,201007121448,-0.2344344056062501,0.7962047721013875,-0.7556117255401178,-0.7368798335129844,-0.5815596801902575,-0.05902996643316656
8,11087,0,201007121524,-0.24018460572815792,0.9198054678178824,-0.7251261235796522,-0.728453681142908,-0.8102216657799283,-0.07466294207005363
9,11087,0,201007121600,-0.24721262809937863,1.2726144175796565,-0.8594885914794819,-0.7137326972963626,-0.7721113348483165,-0.13501301285139541
10,11087,0,201007121636,-0.22804529435968582,1.4217365000138387,-0.9187661508470537,-0.7295441243908002,-0.9626629895063755,-0.11983080969868733
11,11087,0,201007121712,-0.2363511389802194,1.2735108435290685,-1.0424022032422748,-0.6565339923841965,-0.8864423276431517,-0.1012120472464911
12,11087,0,201007121748,-0.23315658335693723,1.421916258523207,-0.8448103386837023,-0.7187883887184084,-0.8102216657799283,-0.07899872276839356
13,11087,0,201007121824,-0.24976827259800433,1.1324534048778347,-0.7618217555691014,-0.6868681409164717,-0.8483319967115399,-0.09192241636119469
14,11087,0,201007121900,-0.26574105071441506,1.3235110793474263,-0.8227929594900327,-0.6583679196647426,-0.6577803420534809,-0.1235043730877953
15,11087,0,201007121936,-0.2644632284651022,1.000167090791075,-0.61052284213568,-0.6614905526018886,-0.7721113348483165,-0.19557452845779025
16,11087,0,201007122012,-0.2663799618390715,1.209668276429435,-0.037506434915818856,-0.6744271747700648,-0.6577803420534809,-0.04967992274071212
17,11087,0,201007122048,-0.26574105071441506,1.1945352234873003,-0.23396920310548608,-0.7135840004898318,-0.3910080255321985,-0.08253984269565516
18,11087,0,201007122124,-0.274685806459605,1.2230114614434233,-0.3130059489289149,-0.7147735749420779,-0.4291183564638102,-0.15622255530286763
19,11087,0,201007122200,-0.27788036208288713,1.5485832413485714,-0.2559865822991551,-0.7106100643592166,-0.4672286873954219,-0.19125268917648675
20,11087,0,201007122236,-0.283630562204795,1.65909202296114,-0.9571554273898619,-0.7722201078651285,-0.6958906729850926,-0.2038580537469553
21,11087,0,201007122312,-0.29001967345135926,1.537647811983829,-0.4259155858195282,-0.7139805253072472,-0.6577803420534809,-0.1483758610808451
22,11087,0,201007122348,-0.3008811625705185,1.4167978227532874,-0.8086792548787062,-0.7800514730090821,-1.038883651369599,-0.1683167345819992
23,11087,0,201007130024,-0.3111037405650213,1.5070747687020498,-1.3912929812342691,-0.882701835117484,-1.1913249750960462,-0.21219734470426616
24,11087,0,201007130100,-0.31302047393899063,1.3074516578535744,-0.9740918729234541,-0.8690712945188308,-1.3056559678908815,-0.2185313951778325
25,11087,0,201007130136,-0.3200484963102113,1.4311285991656286,-1.148537261919451,-0.8480059135936396,-1.0769939823012107,-0.1660396364660436
26,11087,0,201007130212,-0.33090998542937056,1.2455441442898278,-0.8961842234689311,-0.8350197258232865,-1.1913249750960462,-0.13820559735274543
27,11087,0,201007130248,-0.3187706740608985,1.3660629127752872,-0.9740918729234541,-0.830360559218656,-1.038883651369599,-0.20688334124386773
28,11087,0,201007130324,-0.31749285181158565,1.4311332294649541,-0.9644945537877517,-0.8016620755582192,-1.1151043132328224,-0.05075805899153189
29,11087,0,201007130400,-0.33218780767868344,1.635391990207014,-0.7697254301514443,-0.7711792302194133,-0.6958906729850926,-0.1571938073564079
30,11087,0,201007130436,-0.336021274426622,1.6185577652926992,-0.6940759734347339,-0.809840399917411,-0.6196700111218691,-0.1805619458790258
31,11087,0,201007130512,-0.34177147454852985,1.5996879578993655,-0.504952331642957,-0.8327397081231483,-0.7340010039167043,-0.06225043376858949
32,11087,0,201007130548,-0.34368820792249916,1.5742859300087353,-0.2926822142886048,-0.829220550368587,-0.5815596801902575,-0.2312784974881717
33,11087,0,201007130624,-0.3462438524211248,1.5357182119115929,-0.00419809203308801,-0.8300631656055946,-0.4672286873954219,-0.2590312116687572
34,11087,0,201007130700,-0.35007731916906343,1.4346164493041982,-0.3344587799381313,-0.8271883606793332,-0.6577803420534809,-0.17439054527088488
35,11087,0,201007130736,-0.3468827635457813,1.498071306006978,-0.600925522999978,-0.8728382802842768,-0.7340010039167043,-0.09336535302446859
36,11087,0,201007130812,-0.3519940525430327,1.4933547802185094,-1.0757105461250056,-0.9011898047294752,-1.0769939823012107,-0.2666966674693057
37,11087,0,201007130848,-0.3551886081663148,1.5568598499450859,-1.0305466913687602,-0.9032219944187291,-0.8483319967115399,-0.11857375859589958
38,11087,0,201007130924,-0.3615777194128791,1.4776125856762232,-1.2016047912580392,-0.9171994942326205,-1.1913249750960462,-0.14260411442774945
39,11087,0,201007131000,-0.353910785917002,1.617319829044148,-1.1428917800749203,-0.9212143080089511,-1.1151043132328224,-0.12487992623539296
40,11110,0,201009272200,-0.45121695020217584,-1.4997865641464319,0.3384826559299224,-1.0070123653772,-0.9245526585747633,2.9216403488235887
41,11110,0,201009272200,-0.45121695020217584,-1.4997865641464319,0.3384826559299224,-1.0070123653772,-0.9245526585747633,2.9216403488235887
42,11110,0,201009272200,-0.45121695020217584,-1.4997865641464319,0.3384826559299224,-1.0070123653772,-0.9245526585747633,2.9216403488235887
43,11110,0,201009272200,-0.45121695020217584,-1.4997865641464319,0.3384826559299224,-1.0070123653772,-0.9245526585747633,2.9216403488235887
44,11110,0,201009272200,-0.45121695020217584,-1.4997865641464319,0.3384826559299224,-1.0070123653772,-0.9245526585747633,2.9216403488235887
45,11110,0,201009272200,-0.45121695020217584,-1.4997865641464319,0.3384826559299224,-1.0070123653772,-0.9245526585747633,2.9216403488235887
46,11110,0,201009272200,-0.45121695020217584,-1.4997865641464319,0.3384826559299224,-1.0070123653772,-0.9245526585747633,2.9216403488235887
47,11110,0,201009272200,-0.45121695020217584,-1.4997865641464319,0.3384826559299224,-1.0070123653772,-0.9245526585747633,2.9216403488235887
48,11110,0,201009272200,-0.45121695020217584,-1.4997865641464319,0.3384826559299224,-1.0070123653772,-0.9245526585747633,2.9216403488235887
49,11110,0,201009272236,-0.450584428188766,-1.4241512420380613,1.9536550116501408,-1.0610388717500434,-1.610538615343776,1.06293809954927
50,11110,0,201009272312,-0.4505269261875469,-1.638879109555016,-0.810372899432065,-0.8779931029106764,-0.6958906729850926,1.7375888292082766
51,11110,0,201009272348,-0.4500221863990683,-1.68316740812547,0.7765720470655002,-0.9563067543502106,-1.5343179534805527,-0.14654721187956238
52,11110,0,201009280024,-0.45212867637706056,-0.29878343513557964,-3.1007448837581495,-0.5357426198790417,-1.6486489462753877,0.3565427632982377
53,11110,0,201009280136,-0.45212867637706056,-2.2358338647771294,1.769047755333989,-1.1088696778507714,-3.020620859813413,15.7755199722451
54,11110,0,201009280212,-0.451787497836494,-2.2746079913286468,1.1119136686306212,-1.1250776297626242,-2.9825105288818015,21.39074865984188
55,11110,0,201009280512,-0.45158751865447655,-1.3772636992173668,-3.259947471773914,-1.1184854046730939,-1.1151043132328224,1.4245087503899354
56,11110,0,201009280548,-0.4500796884002874,-1.395658540795447,-0.4936613679538952,-1.0752146339726425,-2.182193579317953,-0.24907936347422874
57,11110,0,201009280736,-0.4476262696816067,-1.1272431757639476,0.24984859097079068,-0.9966531545222237,-0.9245526585747633,0.05851012060125213
58,11110,0,201009280812,-0.4418249566697264,-0.5661817806441232,-0.7911782611606608,0.059788090276655846,-0.04801504714769212,-0.008778128725236036
59,11110,0,201009280848,-0.44661679010464955,-0.862478235825112,-0.608829197582321,-0.27423450279361006,-0.6196700111218691,-0.08743560364495971
60,11110,0,201009280924,-0.4498752368403973,-0.7425856895995375,-1.4539578297085594,-0.6570296484059658,-1.419986960685717,-0.2112470047762806
61,11110,0,201009281000,-0.45212675964368654,-0.16761384635058388,-2.6908829018452245,-0.934943979811958,-2.9062898670185775,1.434044679642876
62,11110,0,201009281036,-0.4508463817498751,-1.1322995655229056,-0.3480079363650047,-1.040667409255329,0.2568676003052025,-0.0695905898382872
63,11110,0,201009281112,-0.44380558115616126,-0.8119874969648743,-0.21703275757189386,-0.14070477052898683,0.10442627657875521,0.08633486543652596
64,11110,0,201009281148,-0.44380558115616126,-1.0086642969047808,-0.9283634699827557,-0.5183450935149427,-0.16234603994252722,-0.0398791065640787
65,11110,0,201009281224,-0.43984433218329144,-1.0460286516550024,-0.2599384195903266,-0.7611174129774985,-1.0769939823012107,-0.07125891274365058
66,11110,0,201009281300,-0.4381192721467191,0.02552056881425385,-1.5623510811235475,-0.8630242910532465,-1.229435306027658,-0.2190658161642302
67,11110,0,201009281336,-0.44016378774561965,-0.8003651369713136,-1.001190185777201,-1.0044349540640003,-1.6486489462753877,-0.194693895614987
68,11110,0,201009281412,-0.4449556211805429,-1.3430336455283287,-2.1664176384883276,-0.8966793349313755,-0.8102216657799283,-0.17410939336064954
69,11110,0,201009281448,-0.4437416900436956,-1.0164369231436021,-1.1795874120643697,-0.16117536422805492,1.4001775282535571,-0.23442693416890625
70,11110,0,201009281524,-0.4464251167672526,-1.014668663278974,-0.4880158861093648,-0.395025875298765,1.1334052117322742,0.10251852704635331
71,11110,0,201009281600,-0.44380558115616126,-1.0003771929631287,1.230468787365765,-0.7956150720926349,0.10442627657875521,-0.2302956275871011
72,11110,0,201009281636,-0.4421444122320546,-1.414781162531951,0.20129744710782752,-0.7679574660779134,-1.1151043132328224,-0.22135917926672838
73,11110,0,201009281712,-0.4490574306008371,-1.7068124946609342,-2.073831736238025,-1.0715963450137271,-1.8392006009334467,0.13044783250940065
74,11110,0,201009281748,-0.4415693922198638,-1.4173034409178473,-0.7776291047337873,-0.4568837468155615,-0.08612537807930382,-0.1650637372734912
75,11110,0,201009281824,-0.4463867820997733,-1.805512881142599,-0.722303382657387,-0.4075659726495258,1.2477362045271094,-0.15337850622742918
76,11110,0,201009281900,-0.4473004250080319,-1.3214782645262209,-0.7584344664623831,-0.9499127916693879,-0.5434493492586453,0.7529855452861087
77,11110,0,201009281936,-0.4501499686239996,-2.0065419566573697,-0.38696176109226593,0.3941080769599834,2.467266794338687,-0.2169234850796271
